C1_S1
simInsts                                            9                       # Number of instructions simulated (Count)
system.cpu.numCycles                              170                       # Number of cpu cycles simulated (Cycle)
system.cpu.ipc                               0.052941                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.branchPred.lookups                       1                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted                 1                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect                 0                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups                    0                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates                    0                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                       0                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio                 nan                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                       0                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups               0                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                  0                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses                0                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted            0                       # Number of mispredicted indirect branches. (Count)
system.cpu.commitStats0.ipc                  0.052941                       # IPC: instructions per cycle (thread level) ((Count/Cycle))
system.cpu.executeStats0.numBranches                0                       # Number of branches executed (Count)
system.cpu.fetchStats0.branchRate                   0                       # Number of branch fetches per cycle (Ratio)
==================================
C1_S2
simInsts                                           46                       # Number of instructions simulated (Count)
system.cpu.numCycles                              464                       # Number of cpu cycles simulated (Cycle)
system.cpu.ipc                               0.099138                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.branchPred.lookups                      16                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted                16                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect                 7                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups                    0                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates                    7                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                       0                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio                 nan                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                       0                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups               0                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                  0                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses                0                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted            0                       # Number of mispredicted indirect branches. (Count)
system.cpu.commitStats0.ipc                  0.099138                       # IPC: instructions per cycle (thread level) ((Count/Cycle))
system.cpu.executeStats0.numBranches                0                       # Number of branches executed (Count)
system.cpu.fetchStats0.branchRate                   0                       # Number of branch fetches per cycle (Ratio)
==================================
C1_S3
simInsts                                           11                       # Number of instructions simulated (Count)
system.cpu.numCycles                              391                       # Number of cpu cycles simulated (Cycle)
system.cpu.ipc                               0.028133                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.branchPred.lookups                       1                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted                 1                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect                 0                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups                    0                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates                    0                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                       0                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio                 nan                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                       0                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups               0                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                  0                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses                0                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted            0                       # Number of mispredicted indirect branches. (Count)
system.cpu.commitStats0.ipc                  0.028133                       # IPC: instructions per cycle (thread level) ((Count/Cycle))
system.cpu.executeStats0.numBranches                0                       # Number of branches executed (Count)
system.cpu.fetchStats0.branchRate                   0                       # Number of branch fetches per cycle (Ratio)
==================================
C1_S4
simInsts                                           15                       # Number of instructions simulated (Count)
system.cpu.numCycles                              173                       # Number of cpu cycles simulated (Cycle)
system.cpu.ipc                               0.086705                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.branchPred.lookups                       1                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted                 1                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect                 0                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups                    0                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates                    0                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                       0                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio                 nan                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                       0                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  0                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups               0                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                  0                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses                0                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted            0                       # Number of mispredicted indirect branches. (Count)
system.cpu.commitStats0.ipc                  0.086705                       # IPC: instructions per cycle (thread level) ((Count/Cycle))
system.cpu.executeStats0.numBranches                0                       # Number of branches executed (Count)
system.cpu.fetchStats0.branchRate                   0                       # Number of branch fetches per cycle (Ratio)
==================================
C1_S5
simInsts                                          107                       # Number of instructions simulated (Count)
system.cpu.numCycles                              656                       # Number of cpu cycles simulated (Cycle)
system.cpu.ipc                               0.163110                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.branchPred.lookups                      65                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted                37                       # Number of conditional branches predicted (Count)
